the_geom,COLLECTOR,DATE_,SECTION_,PATROL,ROUTE,ROAD_TYPE,REF_PT,COMMENTS,DATAFILE
POINT (-104.61837974874194 38.21900531125185),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,95,,S4P6803-08-28.cor
POINT (-104.61363394338976 38.23231059499658),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,96,,S4P6803-08-28.cor
POINT (-104.61178525405599 38.24652516360588),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,97,,S4P6803-08-28.cor
POINT (-104.60518301022768 38.25954700828302),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,98,,S4P6803-08-28.cor
POINT (-104.60373924663828 38.273830381537984),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,99,,S4P6803-08-28.cor
POINT (-104.6062462850515 38.2880880409925),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,100,,S4P6803-08-28.cor
POINT (-104.61226292715865 38.30176865908268),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,101,,S4P6803-08-28.cor
POINT (-104.61518758044102 38.3157862807021),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,102,,S4P6803-08-28.cor
POINT (-104.61532420673154 38.319882703405355),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,68,025A,Main_Hwy,102.27999878,,S4P6803-08-28.cor
POINT (-104.83382426083996 37.74849141390062),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,59,,S4P0403-08-28.cor
POINT (-104.835107928767 37.762765379914114),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,60,,S4P0403-08-28.cor
POINT (-104.83318520946762 37.77718061996355),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,61,,S4P0403-08-28.cor
POINT (-104.83048634289855 37.79144524699817),"Bennett, Chuck",08/28/2003 12:00:00 AM,4,4,025A,Main_Hwy,62,,S4P0403-08-28.cor
